VNUM	LOCALE_NAME
101	Câine sãlbatic
102	Lup
103	Lup Alpha
104	Lup Albastru
105	Lup Alpha Albastru
106	Lup Gri
107	Lup Alpha Gri
108	Mistreþ Sãlbatic
109	Mistreþ Sãlbatic Roºu
110	Urs
111	Urs Grizzly
112	Urs Negru
113	Urs Brun
114	Tigru
115	Tigru Alb
131	Lup Blestemat
132	Lup Blestemat Alpha
133	Lup Blestemat Albastru
134	Lup Alpha Albastru Blest
135	Lup Blestemat Gri
136	Lup Blest Alpha Gri
137	Mistreþ Blestemat
138	Mistreþ Blestemat Roºu
139	Urs Blestemat
140	Urs Blestemat Grizzly
141	Urs Blestemat Negru
142	Urs Blestemat Brun
143	Tigru Blestemat
144	Tigru Blestemat Alb
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Câine sãlbatic flãmând
172	Lup Flamand
173	Lup Flamand Alpha
174	Lup Flamand Albastru
175	Lup Flamand Alpha Albast
176	Lup Flamand Gri
177	Lup Flamand Alpha Gri
178	Mistreþ Flãmând
179	Mistreþ Flãmând Roºu
180	Urs Flamand
181	Urs Flãmând Grizzly
182	Urs Flamand Negru
183	Urs Flamand Brun
184	Tigru Flamand
185	Tigru Flamand Alb
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Amazoanã Soldat
302	Arcaº Amazoanã
303	Amazoanã General
304	Amazoanã Comandant
331	Amazoanã Soldat
332	Amazoanã Arcaº
333	Amazoanã General
334	Amazoanã Comandant
351	Amazoanã Soldat Laºã
352	Amazoanã Arcaº Laºã
353	Amazoanã General Laºã
354	Amazoanã Comandant Laºã
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Tristul de Mi-Jung
396	Tristul de Eun-Jung
397	Tristul Se-Rang
398	Tristul Jin-Hee
401	Soldat vânt negru
402	Posedat de vânt negru
403	Arcaº vânt negru
404	vânt negru Jak-To
405	vânt negru To-Su
406	vânt negru Gu-Ryung
431	Soldat de atac negru
432	Posedat de atac negru
433	Arcaº negru
434	Joh-Hwan de atac negru
435	Kyuk-Jan de atac negru
436	Pho-Hwan de atac negru
451	Soldat de atac negru rãu
452	Posedat de atac rãu
453	Arcaº de atac rãu
454	Joh-Hwan de atac rãu
455	Kyuk-Jang de atac rãu
456	Pho-Hwan de atac rãu
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infanterist Salbatic
502	Salbatic Devotat
503	Arcaº sãlbatic
504	General Salbatic
531	Soldat brutal
532	Posedat brutal
533	Arcaº brutal
534	Specialist brutal
551	Infanterist Salbatic Dur
552	Locotenent Salbatic Dur
553	Arcaº Sãlbatic Dur
554	General Salbatic Dur
591	Capitanul Bestie
595	Geum-Chul brutal
601	Ork
602	Spion ork
603	Orc Luptator
604	Orc Vrãjitor
631	Orc Elite
632	Orc Elite Cercetas
633	Orc Elite Luptator
634	Orc Elite Vrãjitor
635	Orc Elite General
636	Orc Negru
637	Orc Negru Urias
651	Orc Mare Curajos
652	Orc Mare Cercetas
653	Orc Mare Luptator
654	Orc Mare Vrãjitor
655	Orc Mare General
656	Orc Negru Curajos
657	Orc Negru Gigant
691	Orc Sef
692	Orc Elite Sef
693	Orc Sef Spirit
701	Fanatic Intunecat
702	Arahan Întunecat
703	Luptator Intunecat
704	Arahan Întunecat Super
705	Cãlãu întunecat
706	Despot întunecat
707	Incantator Intunecat
731	Fanatic Mandru Intunecat
732	Arahan Întunecat Mândru
733	Luptãtor întunecat mândr
734	Colonel Întunecat Mândru
735	Puscas Malefic Mandru
736	Despot întunecat mândru
737	Vrãjitor întunecat mândr
751	Fanatic înalt
752	Arahan Înalt
753	Arahan Luptãtor Înalt
754	Arahan Superior Înalt
755	Cãlãu înalt
756	Despot înalt
757	Incântãtor înalt
771	Fanatic brutal
772	Arahan Brutal
773	Arahan Luptãtor Brutal
774	Arahan Superior Brutal
775	Cãlãu brutal
776	Despot brutal
777	Incântãtor brutal
791	Conducãtor întunecat
792	Conducator Spirit Negru
793	Conducãtor întun. elitã
794	Strigoi Intunecat
795	Luptãtor de elitã
796	Lupt. întunec. de elitã
901	Spiritul Cadavrului
902	Câine al ciumei
903	Om al ciumei
904	Luptãtor sabie al ciumei
905	Luptãtor suliþã al ciume
906	Arcaº al ciumei
907	Comandant al ciumei
931	Spirit Cadavru Furios
932	Câine al ciumei sãlbatic
933	Om al ciumei sãlbatic
934	Luptãtor al ciumei sãlb.
935	Lupt. suliþã al cium. s.
936	Arcaº al ciumei sãlbatic
937	Com. al ciumei furios
991	Ou al ciumei
992	Purtãtor de ciumã
993	Purtãtor de ciumã uriaº
1001	Soldat Demon
1002	Arcaº Demon
1003	Demon Suliþaº
1004	Demon ªaman
1031	Soldat comun
1032	Arcaº comun
1033	Luptator Sulita Comun
1034	ªaman comun
1035	Spiritul mâniei
1036	Spiritul haosului
1037	Demon comandant comun
1038	Maestru craniu sabie
1039	Craniu zburãtor
1040	Spirit nemuritor
1041	Animal demonic
1061	Spirit soldat comun
1062	Spirit arcaº comun
1063	Spirit luptãtor comun
1064	Spirit ªaman Comun
1065	Spirit al mâniei comun
1066	Spirit al haosului comun
1067	Spirit comandant comun
1068	Samurai Fantoma
1069	Craniu zburãtor comun
1070	Spirit nemuritor
1071	Animal demonic
1091	Demon rege
1092	Demon rege mândru
1093	Ingerul cu Coasa
1094	Demon rege comun
1095	Moarte albastra
1096	Áø»ç±Í¿Õ
1101	Gheata Fermecata
1102	Balena Ucigasa de Gheata
1103	Insecta de Gheata
1104	Leu de gheaþã
1105	Om Îngheþat
1106	Yeti
1107	Golem de Gheata
1131	Aºchii Gheatã Lumea Jos
1132	Balenã ucigaºã gheaþã
1133	Insecta Inghetata
1134	Leu Gheaþã Lumea Jos
1135	Omul gheþii lumii de jos
1136	Yeti Salbatic
1137	Golem de Gheata Subteran
1151	Diavol de Gheata
1152	Balena Corn de Gheata
1153	Insecta de Gheata
1154	Seol-Gu
1155	Omul Ghetii
1156	Gigant de Gheata
1157	Golem de Gheata
1171	Gheaþã fermecatã rea
1172	Balenã cu corn d gh. rea
1173	Insecta de Gheata Rea
1174	Leu de gheaþã rãu
1175	Om Rau de Gheata
1176	Yeti rãu
1177	Golem de Gheata Puternic
1191	Vrãjitoare de gheaþã
1192	Vrãjitoare Rea de Gheaþã
1301	Soldat Brotac
1302	General Brotac
1303	Cãpcãun
1304	Fantoma Tigrului Galben
1305	General Broasca Taur
1306	Naluca Tigrului Galben
1307	Naluca Tigrului Galben
1308	Naluca Tigrului Galben
1309	Naluca Tigrului Galben
1310	Naluca Tigrului Galben
1331	Soldat Brotac Mare
1332	Liderul General Brotac
1333	Cãpcãun mare
1334	Duhul Tigrului Galben
1335	Gen. broascã-bou mare
1401	Distrugãtor
1402	Luptãtor cu securea
1403	Miria-Luptãtor
1501	Golem de Piatrã
